Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
97	1.5320976	0.12600398	1.8049115	1.3941553	500.0	0.16766714	0.12012576	0.6203311	0.013588443	490000	-6.0987475e-08	0.0025973313	0.015842605	-0.00023937877	0.7825776	0.027994059	0.249	1.0	503.3409790992737
98	1.5816977	0.17237498	1.9953477	1.4012207	500.0	0.17957991	0.11778561	0.627224	0.022414908	495000	-6.229281e-08	0.0036689597	0.016881132	-0.00021484937	0.7824088	0.035958566	0.2962	1.0	508.01275634765625
99	1.4952468	0.12704392	1.7605454	1.284966	500.0	0.188143	0.121246554	0.6363292	0.039823167	500000	2.617836e-08	0.0030115568	0.017868742	-0.00064743636	0.78227466	0.029544095	0.2848	1.0	512.7012288570404
100	1.5319511	0.10872539	1.7706789	1.4264249	500.0	0.17060064	0.12645765	0.6344441	0.009497382	505000	-4.46558e-08	0.002860421	0.016092986	-0.0001665838	0.7821316	0.028226623	0.2474	1.0	517.3929839134216
101	1.5503294	0.120092675	1.820639	1.3611434	500.0	0.17353003	0.12221869	0.6494618	0.019409254	510000	-3.7926437e-08	0.0031530138	0.016435578	-0.00059092697	0.7819929	0.0344198	0.259	1.0	522.4900436401367
102	1.4308972	0.12791331	1.6660601	1.1956657	500.0	0.18983743	0.12019151	0.6065879	0.050270833	515000	4.259944e-08	0.0037575068	0.010903503	-0.0011550316	0.7818667	0.024604887	0.2152	1.0	527.166033744812
103	1.4945098	0.14200811	1.711769	1.2635826	500.0	0.16289747	0.11400933	0.6121168	0.009958081	520000	1.4224648e-08	0.0029675618	0.005289328	-0.00029963907	0.7817403	0.016664652	0.1578	1.0	531.8307638168335
104	1.5508859	0.13725105	1.8884724	1.4016551	500.0	0.17466691	0.115573205	0.6145639	0.019072838	525000	4.3994188e-08	0.0034505783	0.0069920467	-0.0002617573	0.7815817	0.030130774	0.2254	1.0	536.4263803958893
105	1.4653705	0.15698148	1.7393727	1.2033664	500.0	0.17781293	0.124657504	0.653919	0.021986373	530000	-5.1754714e-08	0.004159925	0.012536496	-0.00022518635	0.7814165	0.034270942	0.2668	1.0	541.1906428337097
106	1.4959365	0.14529702	1.833639	1.2979249	500.0	0.17041165	0.1154077	0.61259437	0.0123097	535000	-3.9598344e-08	0.0035830045	0.01944058	-0.00041943602	0.78123575	0.03133827	0.2988	1.0	545.7881255149841
107	1.5640194	0.12783988	1.8242259	1.2953886	500.0	0.17757541	0.1111689	0.6099647	0.031186037	540000	2.0691752e-08	0.003694094	0.026717827	-0.0009792282	0.7810625	0.034682408	0.342	1.0	550.4453783035278
108	1.493246	0.067658804	1.5619714	1.3481526	500.0	0.18434493	0.13041845	0.6386488	0.029107489	545000	2.259612e-08	0.0027977831	0.025788449	-0.00020638434	0.7809217	0.043724127	0.3254	1.0	555.1480824947357
109	1.5510818	0.09301431	1.782956	1.4613512	500.0	0.17235853	0.12959366	0.6275706	0.015158452	550000	-1.3956279e-07	0.0034532303	0.020141564	-0.0006145234	0.78079367	0.04199503	0.3308	1.0	559.7313852310181
